"","symbol","date"
"285","GOOG",2018-04-05 17:25:00
"286","GOOG",2018-04-05 17:30:00
"287","GOOG",2018-04-05 17:35:00
"288","GOOG",2018-04-05 17:40:00
"289","GOOG",2018-04-05 17:45:00
"290","GOOG",2018-04-05 17:50:00
"291","GOOG",2018-04-05 17:55:00
"292","GOOG",2018-04-05 18:00:00
"293","GOOG",2018-04-05 18:05:00
"294","GOOG",2018-04-05 18:10:00
"295","GOOG",2018-04-05 18:15:00
"296","GOOG",2018-04-05 18:20:00
"297","GOOG",2018-04-05 18:25:00
"298","GOOG",2018-04-05 18:30:00
"299","GOOG",2018-04-05 18:35:00
"300","GOOG",2018-04-05 18:40:00
"301","GOOG",2018-04-05 18:45:00
"302","GOOG",2018-04-05 18:50:00
"303","GOOG",2018-04-05 18:55:00
"304","GOOG",2018-04-05 19:00:00
"305","GOOG",2018-04-05 19:05:00
"306","GOOG",2018-04-05 19:10:00
"307","GOOG",2018-04-05 19:15:00
"308","GOOG",2018-04-05 19:20:00
"309","GOOG",2018-04-05 19:25:00
"310","GOOG",2018-04-05 19:30:00
"311","GOOG",2018-04-05 19:35:00
"312","GOOG",2018-04-05 19:40:00
"313","GOOG",2018-04-05 19:45:00
"314","GOOG",2018-04-05 19:50:00
"315","GOOG",2018-04-05 19:55:00
"316","GOOG",2018-04-05 20:00:00
"317","GOOG",2018-04-06 13:30:00
"318","GOOG",2018-04-06 13:35:00
"319","GOOG",2018-04-06 13:40:00
"320","GOOG",2018-04-06 13:45:00
"321","GOOG",2018-04-06 13:50:00
"322","GOOG",2018-04-06 13:55:00
"323","GOOG",2018-04-06 14:00:00
"324","GOOG",2018-04-06 14:05:00
"325","GOOG",2018-04-06 14:10:00
"326","GOOG",2018-04-06 14:15:00
"327","GOOG",2018-04-06 14:20:00
"328","GOOG",2018-04-06 14:25:00
"329","GOOG",2018-04-06 14:30:00
"330","GOOG",2018-04-06 14:35:00
"331","GOOG",2018-04-06 14:40:00
"332","GOOG",2018-04-06 14:45:00
"333","GOOG",2018-04-06 14:50:00
"334","GOOG",2018-04-06 14:55:00
"335","GOOG",2018-04-06 15:00:00
"336","GOOG",2018-04-06 15:05:00
"337","GOOG",2018-04-06 15:10:00
"338","GOOG",2018-04-06 15:15:00
"339","GOOG",2018-04-06 15:20:00
"340","GOOG",2018-04-06 15:25:00
"341","GOOG",2018-04-06 15:30:00
"342","GOOG",2018-04-06 15:35:00
"343","GOOG",2018-04-06 15:40:00
"344","GOOG",2018-04-06 15:45:00
"345","GOOG",2018-04-06 15:50:00
"346","GOOG",2018-04-06 15:55:00
"347","GOOG",2018-04-06 16:00:00
"348","GOOG",2018-04-06 16:05:00
"349","GOOG",2018-04-06 16:10:00
"350","GOOG",2018-04-06 16:15:00
"351","GOOG",2018-04-06 16:20:00
"352","GOOG",2018-04-06 16:25:00
"353","GOOG",2018-04-06 16:30:00
"354","GOOG",2018-04-06 16:35:00
"355","GOOG",2018-04-06 16:40:00
"356","GOOG",2018-04-06 16:45:00
"357","GOOG",2018-04-06 16:50:00
"358","GOOG",2018-04-06 16:55:00
"359","GOOG",2018-04-06 17:00:00
"360","GOOG",2018-04-06 17:05:00
"361","GOOG",2018-04-06 17:10:00
"362","GOOG",2018-04-06 17:15:00
"363","GOOG",2018-04-06 17:20:00
"364","GOOG",2018-04-06 17:25:00
"365","GOOG",2018-04-06 17:30:00
"366","GOOG",2018-04-06 17:35:00
"367","GOOG",2018-04-06 17:40:00
"368","GOOG",2018-04-06 17:45:00
"369","GOOG",2018-04-06 17:50:00
"370","GOOG",2018-04-06 17:55:00
"371","GOOG",2018-04-06 18:00:00
"372","GOOG",2018-04-06 18:05:00
"373","GOOG",2018-04-06 18:10:00
"374","GOOG",2018-04-06 18:15:00
"375","GOOG",2018-04-06 18:20:00
"376","GOOG",2018-04-06 18:25:00
"377","GOOG",2018-04-06 18:30:00
"378","GOOG",2018-04-06 18:35:00
"379","GOOG",2018-04-06 18:40:00
"380","GOOG",2018-04-06 18:45:00
"381","GOOG",2018-04-06 18:50:00
"382","GOOG",2018-04-06 18:55:00
"383","GOOG",2018-04-06 19:00:00
"384","GOOG",2018-04-06 19:05:00
"385","GOOG",2018-04-06 19:10:00
"386","GOOG",2018-04-06 19:15:00
"387","GOOG",2018-04-06 19:20:00
"388","GOOG",2018-04-06 19:25:00
"389","GOOG",2018-04-06 19:30:00
"390","GOOG",2018-04-06 19:35:00
"391","GOOG",2018-04-06 19:40:00
"392","GOOG",2018-04-06 19:45:00
"393","GOOG",2018-04-06 19:50:00
"394","GOOG",2018-04-06 19:55:00
"395","GOOG",2018-04-06 20:00:00
"396","GOOG",2018-04-09 13:30:00
"397","GOOG",2018-04-09 13:35:00
"398","GOOG",2018-04-09 13:40:00
"399","GOOG",2018-04-09 13:45:00
"400","GOOG",2018-04-09 13:50:00
"401","GOOG",2018-04-09 13:55:00
"402","GOOG",2018-04-09 14:00:00
"403","GOOG",2018-04-09 14:05:00
"404","GOOG",2018-04-09 14:10:00
"405","GOOG",2018-04-09 14:15:00
"406","GOOG",2018-04-09 14:20:00
"407","GOOG",2018-04-09 14:25:00
"408","GOOG",2018-04-09 14:30:00
"409","GOOG",2018-04-09 14:35:00
"410","GOOG",2018-04-09 14:40:00
"411","GOOG",2018-04-09 14:45:00
"412","GOOG",2018-04-09 14:50:00
"413","GOOG",2018-04-09 14:55:00
"414","GOOG",2018-04-09 15:00:00
"415","GOOG",2018-04-09 15:05:00
"416","GOOG",2018-04-09 15:10:00
"417","GOOG",2018-04-09 15:15:00
"418","GOOG",2018-04-09 15:20:00
"419","GOOG",2018-04-09 15:25:00
"420","GOOG",2018-04-09 15:30:00
"421","GOOG",2018-04-09 15:35:00
"422","GOOG",2018-04-09 15:40:00
"423","GOOG",2018-04-09 15:45:00
"424","GOOG",2018-04-09 15:50:00
"425","GOOG",2018-04-09 15:55:00
"426","GOOG",2018-04-09 16:00:00
"427","GOOG",2018-04-09 16:05:00
"428","GOOG",2018-04-09 16:10:00
"429","GOOG",2018-04-09 16:15:00
"430","GOOG",2018-04-09 16:20:00
"431","GOOG",2018-04-09 16:25:00
"432","GOOG",2018-04-09 16:30:00
"433","GOOG",2018-04-09 16:35:00
"434","GOOG",2018-04-09 16:40:00
"435","GOOG",2018-04-09 16:45:00
"436","GOOG",2018-04-09 16:50:00
"437","GOOG",2018-04-09 16:55:00
"438","GOOG",2018-04-09 17:00:00
"439","GOOG",2018-04-09 17:05:00
